date,retweets,favorites,vader,finBERT,finBERT_min,finBERT_max,buzz,buzz_n,sent_wn,sent12,sent26,sent50,sent200,adjclose,volume,EMA12,EMA26,EMA50,EMA200
2018-03-12,1201,2184,0.050648437500000004,-0.041460870222222224,-0.950706,0.856566,3385,-0.4065956448026397,0.9631231340135781,-0.041460870222222224,-0.041460870222222224,-0.041460870222222224,-0.041460870222222224,257.947998046875,71924800,257.947998046875,257.947998046875,257.947998046875,257.947998046875
2018-03-13,2985,4294,-0.021974074074074073,-0.10821212905555555,-0.901304,0.883569,7279,-0.06135016485122416,0.9608160905788896,-0.051730294658119666,-0.04640540791358025,-0.04407856664705882,-0.042125061852404645,256.28094482421875,91968900,257.6915283203125,257.8245126229745,257.8826234106924,257.93141045261973
2018-03-14,2729,4657,-0.002420192307692307,-0.07529958355769231,-0.91281,0.839234,7386,-0.05186345032764905,0.9601989656450334,-0.055356339104207765,-0.04854571722055152,-0.04530292025139739,-0.042455156595740846,254.96578979492188,105895100,257.27218393179083,257.61275537645207,257.7682377787014,257.90190178935904
2018-03-15,2758,4190,0.029451063829787235,-0.1057913574468085,-0.935617,0.899704,6948,-0.09069691725592846,0.9614834658458866,-0.06311557269537711,-0.05278613501508907,-0.04767501582768802,-0.04308536754948281,254.68795776367188,83433000,256.87461067515716,257.39610370143134,257.6474424839944,257.8699222468149
2018-03-16,2818,4099,-0.025212162162162165,-0.05179758175675676,-0.892756,0.897883,6917,-0.0934454046412633,0.9604100405575263,-0.06137434332020475,-0.05271290884780519,-0.04783668507980837,-0.043172056248062654,254.96412658691406,100343700,256.58069004619665,257.21595724850414,257.54221440959907,257.8410088571641
2018-03-19,66744,202050,-0.048395049504950494,-0.18375363625742575,-0.953422,0.738148,268794,23.12480075695012,0.0,-0.07547327997733383,-0.060942246223151086,-0.05269556255543874,-0.0445361731080517,251.51441955566406,109208400,255.80126381688396,256.7936211231086,257.3058302976801,257.7780577198358
2018-03-20,3758,5274,0.04617314814814815,-0.06630064675925926,-0.944642,0.883985,9032,0.09407236374529136,0.9579092205673547,-0.07406210563609159,-0.061339164781381315,-0.053229095269314054,-0.04475273503492939,251.94210815429688,59757300,255.20754756110134,256.4342497920855,257.09548825284156,257.7199885699299
2018-03-21,2450,3987,0.028429565217391307,-0.02817912991304348,-0.936506,0.857442,6437,-0.13600262867225443,0.9601825166146496,-0.06700318629408418,-0.058882865902245174,-0.05224674368671521,-0.04458782354117928,251.45860290527344,78709600,254.6307868448201,256.0656833560254,256.87443392548596,257.657686225008
2018-03-22,2434,3325,-0.002732710280373829,-0.20179856652336448,-0.938683,0.853148,5759,-0.1961147076160294,0.9682519333718217,-0.08774093709858884,-0.06946921409640217,-0.05811152105285833,-0.046152109541002025,245.1728515625,148785900,253.1757198783093,255.25880692687534,256.41554834262377,257.5334590144358
2018-03-23,2167,3266,-0.1355471264367816,-0.21984465587356322,-0.929488,0.796317,5433,-0.22501815560374422,0.9704854679514064,-0.1080645861408926,-0.08060813570952521,-0.06445399692818009,-0.047880393584112085,239.94708251953125,183534800,251.14054490003576,254.12460511892394,255.76972615348288,257.35847019359096
2018-03-26,2333,3447,-0.04716741573033707,-0.12771278276404494,-0.923489,0.895566,5780,-0.19425282906467353,0.9649181031514147,-0.08446800668157337,-0.0733768491684618,-0.062197627341826954,-0.047756688901398975,246.51182556152344,141956100,250.42843423257233,253.56069552207944,255.406671228308,257.25054338133157
2018-03-27,2892,4430,0.01279,-0.14462459360000002,-0.938308,0.869117,7322,-0.057537746865114536,0.9611959422749031,-0.09372286620748516,-0.07865445986709425,-0.06543005739116707,-0.048720548649643765,242.3181915283203,129941400,249.18070458576432,252.72791744846765,254.893397514583,257.10196276587874
2018-03-28,2315,3806,0.07336020408163266,-0.036218026285714286,-0.937225,0.913363,6121,-0.16401946782599025,0.9606584259549465,-0.08487596775798194,-0.0755110203425476,-0.06428448754389442,-0.04859614544204248,241.6022186279297,146452300,248.0147836691744,251.9037916099093,254.37217481314562,256.9477364560484
2018-03-29,5446,18761,-0.009749999999999997,-0.1664522717,-0.948287,0.852734,24207,1.4395012693083962,0.9052231763866334,-0.09742616836444624,-0.08224740933198851,-0.06829106731472209,-0.049768843215753505,244.6893310546875,111601600,247.50317557463796,251.3693871243373,253.99245545006886,256.82576227295027
2018-04-02,2884,4215,-0.046700925925925924,-0.2138750389814815,-0.948213,0.902067,7099,-0.07730912386284583,0.9630501416561404,-0.09109530698010124,-0.08189589392003514,-0.06996557176677407,-0.050899883777103756,239.40777587890625,186286300,246.2577294676023,250.48334184689796,253.4205072315919,256.6524489754971
2018-04-03,3178,5137,0.011977443609022557,-0.018909004887218046,-0.940129,0.883059,8315,0.030502510348998365,0.9591870907770768,-0.07998972204273459,-0.07723019843612276,-0.06796335345777187,-0.050581566574219326,242.476318359375,119956900,245.6759739124904,249.89022899597035,252.99132335425008,256.5113929494661
2018-04-04,4171,6034,-0.02364878048780488,-0.12612218795121952,-0.948053,0.867366,10205,0.19807157997102592,0.9536775253897201,-0.08708702449019382,-0.08085182728909289,-0.07024409206535805,-0.05133321454811982,245.07052612304688,123715300,245.58282809872986,249.5332139683464,252.68070385498723,256.39755347855646
2018-04-05,4916,6508,0.006306474820143887,-0.07477213555395684,-0.929755,0.839632,11424,0.3061491968330638,0.9541493182402572,-0.0851924261923112,-0.08040147975315688,-0.07042166239824427,-0.05156643764270527,247.00469970703125,82652600,245.80157757693007,249.34591661565636,252.45811545702816,256.304092246999
